"","Key","ID","Country","Total","Top_Category","GDP_Per_Capita","Population","Covid_Deaths_Per_Million","Covid_Cases_Per_Million","gdpRank","robotRank","deathRank","caseRank","populationRank"
"1",1,"AFG","Afghanistan",NA,NA,508.8084095,38.04,191.82,3945.985,135,48,92,120,34
"2",2,"AGO","Angola",NA,NA,1895.770869,31.83,54.33,1919.601,107,49,120,137,42
"3",3,"ALB","Albania",NA,NA,5215.276752,2.85,1058.79,69314.854,67,50,53,56,127
"4",4,"ARE","United Arab Emirates",5,"Public Safety",NA,9.77,219.44,74252.011,142,10,88,54,86
"5",5,"ARG","Argentina",NA,NA,8441.919439,44.94,2588.88,116773.685,51,51,10,18,28
"6",6,"ARM","Armenia",NA,NA,4267.452119,2.96,2428.55,113715.446,79,52,14,21,125
"7",7,"ATA","Antarctica",NA,NA,NA,NA,NA,NA,143,53,143,156,143
"8",8,"ATF","French Southern and Antarctic Lands",NA,NA,NA,NA,NA,NA,144,54,144,157,144
"9",9,"AUS","Australia",2,"Public Safety",51812.15404,25.36,76.21,8065.079,10,16,110,109,50
"10",10,"AUT","Austria",1,"Quality of Life",48327.63111,8.88,1340.87,125267.719,13,25,44,16,92
"11",11,"AZE","Azerbaijan",NA,NA,4214.311336,10.02,753.34,57136.002,80,55,65,65,85
"12",12,"BDI","Burundi",NA,NA,274.0095232,11.53,3.3,1663.426,141,56,142,139,73
"13",13,"BEL","Belgium",2,"Non-Hospital Care",44594.37811,11.48,2309.81,146284.744,15,17,19,11,75
"14",14,"BEN","Benin",NA,NA,1291.040962,11.8,13.64,1995.819,115,57,134,136,71
"15",15,"BFA","Burkina Faso",NA,NA,830.9251446,20.32,13.04,730.843,127,58,136,148,53
"16",16,"BGD","Bangladesh",NA,NA,1968.792225,163.05,171.36,9474.118,104,59,97,104,8
"17",17,"BGR","Bulgaria",NA,NA,9975.780001,6.98,3868.4,99849.565,48,60,2,32,99
"18",18,"BHS","The Bahamas",NA,NA,NA,NA,NA,NA,145,61,145,158,145
"19",19,"BIH","Bosnia and Herzegovina",NA,NA,6031.556869,3.3,3689.79,83591.674,64,62,3,45,122
"20",20,"BLR","Belarus",NA,NA,6411.227813,9.47,517.7,68852.818,62,63,73,58,89
"21",21,"BLZ","Belize",NA,NA,4435.621154,NA,NA,74497.117,75,64,146,53,146
"22",22,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,146,65,147,159,147
"23",23,"BOL","Bolivia",NA,NA,3143.045494,11.51,1654.55,45222.504,94,66,36,76,74
"24",24,"BRA","Brazil",NA,NA,6796.844542,211.05,2900.48,103166.073,59,67,8,30,6
